Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank,Expected SDR Assignment ,Match/Mismatch
123544,DE,Company 89,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,22,28,,Comm Rep,Match
123545,DE,Company 90,Prospect,Suspect,Comm Rep,Germany,Automotive,1516,50,,SDR,Mismatch
123546,DE,Company 91,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,543,56,,SDR,Mismatch
123547,DE,Company 92,Prospect,Suspect,SDR,Germany,Wealth & Asset Management,1,25,,Comm Rep,Mismatch
123548,DE,Company 93,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,1397,37,,SDR,Match
123549,DE,Company 94,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,723,52,,SDR,Mismatch
123550,DE,Company 95,Customer,Capacity,SDR,Germany,Hardlines,5,100,,Comm Rep,Mismatch
123551,DE,Company 96,Customer,Capacity,SDR,Germany,Retailers & eCommerce,897,100,,SDR,Match
123552,DE,Company 97,Customer,Capacity,SDR,Germany,Hardlines,1355,100,,SDR,Match
123553,DE,Company 98,Customer,Capacity,SDR,Germany,Hardlines,186,100,,Comm Rep,Mismatch
123554,DE,Company 99,Prospect,Suspect,SDR,Germany,Hardlines,1957,79,,SDR,Match
123555,DE,Company 100,Customer,Capacity,SDR,Germany,Retailers & eCommerce,550,100,,SDR,Match
123556,DE,Company 101,Prospect,Suspect,SDR,Germany,"Grocery, Consumables, Food & Beverage",130,12,,Comm Rep,Mismatch
123557,DE,Company 102,Customer,Capacity,SDR,Germany,Softlines,3,100,,Comm Rep,Mismatch
123558,DE,Company 103,Customer,Capacity,SDR,Germany,"Grocery, Consumables, Food & Beverage",144,100,,Comm Rep,Mismatch
123559,DE,Company 104,Customer,Capacity,SDR,Germany,"Travel Tech, OTAs and TMCs",364,100,,Comm Rep,Mismatch
123560,DE,Company 105,Customer,Capacity,SDR,Germany,Softlines,257,100,,Comm Rep,Mismatch
123561,DE,Company 106,Self Service,On Demand,Comm Rep,United States,Regional Commercial & Retail Banks,89182,56,528,SDR,Mismatch
123562,DE,Company 107,Customer,Capacity,SDR,Germany,Hardlines,7239,100,,SDR,Match
123563,DE,Company 108,Customer,Capacity,SDR,Germany,Retailers & eCommerce,2136,100,,SDR,Match
123564,DE,Company 109,Prospect,Suspect,Comm Rep,Germany,Softlines,1,50,,Comm Rep,Match
123565,DE,Company 110,Customer,Capacity,SDR,Germany,Technology Development Services,68,100,,Comm Rep,Mismatch
123566,DE,Company 111,Prospect,Suspect,SDR,Germany,Hardlines,1355,97,,SDR,Match
123567,DE,Company 112,Prospect,Suspect,Comm Rep,Germany,Life Sciences,160,56,,Comm Rep,Match
123568,DE,Company 113,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,1562,83,,SDR,Mismatch
123569,DE,Company 114,Prospect,Suspect,Comm Rep,Germany,Wealth & Asset Management,349,48,,Comm Rep,Match
123570,DE,Company 115,Prospect,Suspect,SDR,Germany,Industrial Goods,7239,97,,SDR,Match
123571,DE,Company 116,Prospect,Suspect,Comm Rep,United Kingdom,"Grocery, Consumables, Food & Beverage",34072,85,528,SDR,Mismatch
123572,DE,Company 117,Prospect,Suspect,SDR,Germany,Softlines,1171,95,,SDR,Match
123573,DE,Company 118,Prospect,Suspect,SDR,Switzerland,Hardlines,2393,78,,SDR,Match
123574,DE,Company 119,Customer,Capacity,SDR,Germany,Retailers & eCommerce,6,100,,Comm Rep,Mismatch
123575,DE,Company 120,Customer,Capacity,SDR,Germany,Hardlines,1034,100,,SDR,Match
123576,DE,Company 121,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,1957,86,,SDR,Mismatch
123577,DE,Company 122,Customer,On Demand,Comm Rep,Germany,Softlines,897,90,,SDR,Mismatch
123578,DE,Company 123,Customer,On Demand,SDR,Germany,,5,35,,Comm Rep,Mismatch
123579,DE,Company 124,Customer,Capacity,SDR,Germany,Retailers & eCommerce,2393,100,,SDR,Match
123580,DE,Company 125,Self Service,On Demand,Comm Rep,Germany,Software - B2B,,49,,Unknown,Mismatch
123581,DE,Company 126,Customer,Capacity,SDR,Germany,Retailers & eCommerce,111,100,,Comm Rep,Mismatch
123582,DE,Company 127,Customer,Capacity,SDR,Germany,Automotive,1838,100,,SDR,Match
123583,DE,Company 128,Customer,Capacity,SDR,Poland,Other Travel and Hospitality,75,100,,Comm Rep,Mismatch
123584,DE,Company 129,Self Service,On Demand,Comm Rep,Germany,Legal,,90,,Unknown,Mismatch
123585,DE,Company 130,Self Service,On Demand,SDR,Germany,,,74,,Unknown,Mismatch
123586,DE,Company 131,Self Service,On Demand,Comm Rep,Germany,Software - B2B,,83,,Unknown,Mismatch
123587,DE,Company 132,Self Service,On Demand,SDR,Germany,,,71,,Unknown,Mismatch
123588,DE,Company 133,Self Service,On Demand,Comm Rep,Germany,Retailers & eCommerce,,92,,Unknown,Mismatch
123589,DE,Company 134,Self Service,On Demand,Comm Rep,Germany,Software - B2B,,47,,Unknown,Mismatch
123590,DE,Company 135,Self Service,On Demand,Comm Rep,Germany,Software - B2B,,56,,Unknown,Mismatch
123591,DE,Company 136,Customer,Capacity,SDR,Germany,"Grocery, Consumables, Food & Beverage",227,100,,Comm Rep,Mismatch
123592,DE,Company 137,Prospect,Suspect,SDR,Germany,Health Insurance Payers,768,37,,SDR,Match
123593,DE,Company 138,Prospect,Suspect,SDR,Germany,Sports & Betting,500,35,,SDR,Match
123594,DE,Company 139,Prospect,Suspect,Comm Rep,Germany,Nonprofit Organization,,27,,Unknown,Mismatch
123595,DE,Company 140,Prospect,Suspect,Comm Rep,Germany,Hardlines,600,33,,SDR,Mismatch
123596,DE,Company 141,Prospect,Suspect,SDR,Germany,Hardlines,600,37,,SDR,Match
123597,DE,Company 142,Prospect,Suspect,Comm Rep,Germany,Agriculture,779,83,,SDR,Mismatch
123598,DE,Company 143,Prospect,Suspect,Comm Rep,Germany,,,27,,Unknown,Mismatch
