Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank
123623,DE,Company 168,Prospect,Suspect,SDR,Germany,"QSR, Restaurants & Food Service",575,25,
123624,DE,Company 169,Prospect,Suspect,Comm Rep,Germany,Power & Utilities,2092,56,
123625,DE,Company 170,Prospect,Suspect,Comm Rep,Germany,Hardlines,57,50,
123626,DE,Company 171,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,133,32,
123627,DE,Company 172,Prospect,Suspect,SDR,Germany,Industrial Goods,482,70,
123628,DE,Company 173,Prospect,Suspect,Comm Rep,Germany,Federal & National Government,617,47,
123629,DE,Company 174,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,180,19,
123630,DE,Company 175,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,63,42,
123631,DE,Company 176,Prospect,Suspect,SDR,Germany,Professional Services,2,24,
123632,DE,Company 177,Prospect,Suspect,SDR,Germany,Healthcare Providers,16,35,
123633,DE,Company 178,Prospect,Suspect,SDR,Germany,"Airlines, Car, Rail, Cruise, Bus",238,38,
123634,DE,Company 179,Prospect,Suspect,Comm Rep,Germany,Software - B2B,178,64,
123635,DE,Company 180,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,79,79,
123636,DE,Company 181,Prospect,Suspect,Comm Rep,Germany,Other Travel and Hospitality,872,40,
123637,DE,Company 182,Prospect,Suspect,Comm Rep,Germany,"Logistics, Transportation & Supply Chain",653,44,
123638,DE,Company 183,Prospect,Suspect,SDR,Germany,Nonprofit Organization,,10,
123639,DE,Company 184,Prospect,Suspect,Comm Rep,Germany,HCLS Other,529,45,
123640,DE,Company 185,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,14221,55,
123641,DE,Company 186,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,10,21,
123642,DE,Company 187,Prospect,Suspect,SDR,Germany,,,24,
123643,DE,Company 188,Prospect,Suspect,SDR,Germany,"Logistics, Transportation & Supply Chain",29,41,
123644,DE,Company 189,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,31,76,73
123645,DE,Company 190,Prospect,Suspect,Comm Rep,Germany,"Logistics, Transportation & Supply Chain",963,44,
123646,DE,Company 191,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,104,57,
123647,DE,Company 192,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,7,10,
123648,DE,Company 193,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,39,13,
123649,DE,Company 194,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,5,73,
123650,DE,Company 195,Prospect,Suspect,Comm Rep,Germany,Professional Services,20,40,
123651,DE,Company 196,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,280,40,
123652,DE,Company 197,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,87810,57,
123653,DE,Company 198,Prospect,Suspect,SDR,Germany,Nonprofit Organization,586,75,
123654,DE,Company 199,Prospect,Suspect,SDR,Germany,Other Travel and Hospitality,694,35,
123655,DE,Company 200,Prospect,Suspect,Comm Rep,Germany,Hardlines,1000,40,
123656,DE,Company 201,Prospect,Suspect,Comm Rep,Germany,Hardlines,265,92,
123657,DE,Company 202,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,376,48,
123658,DE,Company 203,Prospect,Suspect,SDR,Germany,Healthcare Providers,1600,38,
123659,DE,Company 204,Prospect,Suspect,SDR,Germany,Other Private Service,11,42,
123660,DE,Company 205,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,3,47,
123661,DE,Company 206,Prospect,Suspect,SDR,Germany,Industrial Goods,51,70,
123662,DE,Company 207,Prospect,Suspect,Comm Rep,Germany,Software - B2B,656,57,
123663,DE,Company 208,Prospect,Suspect,SDR,Germany,Life Sciences Tech,1007,94,
123664,DE,Company 209,Prospect,Suspect,SDR,Germany,Life Sciences Tech,524,74,
123665,DE,Company 210,Prospect,Suspect,SDR,Germany,Federal & National Government,617,81,
123666,DE,Company 211,Prospect,Suspect,Comm Rep,Germany,Federal & National Government,617,46,
123667,DE,Company 212,Prospect,Suspect,Comm Rep,Germany,Federal & National Government,617,40,
123668,DE,Company 213,Prospect,Suspect,Comm Rep,Germany,"Grocery, Consumables, Food & Beverage",3200,44,
123669,DE,Company 214,Prospect,Suspect,SDR,Germany,Wealth & Asset Management,1,24,
123670,DE,Company 215,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,266,54,582
123671,DE,Company 216,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,2431,76,
123672,DE,Company 217,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,2431,56,
123673,DE,Company 218,Prospect,Suspect,Comm Rep,Germany,Software - B2B,993,57,
123674,DE,Company 219,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,3360,89,
123675,DE,Company 220,Prospect,Suspect,SDR,Germany,Healthcare Providers,3424,41,
123676,DE,Company 221,Prospect,Suspect,Comm Rep,Germany,Automotive,548,48,
123677,DE,Company 222,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,968,50,
123678,DE,Company 223,Prospect,Suspect,SDR,Germany,"Logistics, Transportation & Supply Chain",20,75,
123679,DE,Company 224,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,1,20,
123680,DE,Company 225,Prospect,Suspect,SDR,Germany,Nonprofit Organization,45,37,
123681,DE,Company 226,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,98,84,
123682,DE,Company 227,Prospect,Suspect,SDR,Germany,Other Private Service,831,21,
123683,DE,Company 228,Prospect,Suspect,SDR,Germany,Nonprofit Organization,28,19,
123684,DE,Company 229,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,2,48,
